Release	Date	%+-YD	%+-LW	Days	google trends	Avg TD	Avg YD	Weekly	Weekly %+-YD	Weekly %+-LW	Avg Theatre	Avg per Theatre Avg	Avg To Date	Y	Week + 1
The SpongeBob Movie: Sponge on the Run	2020-09-21	178.09999999999997	-151.1	294.0	0.28	8.714285714285714	8.142857142857142	198932.0	178.09999999999997	-151.1	256.2857142857143	112.0	4321045.714285715	2020-09-28	137208.0
My Brothers' Crossing	2020-09-21	30.700000000000006	-213.6	134.0	0.051168	15.857142857142858	12.714285714285715	4915.0	30.700000000000006	-213.6	30.0	36.0	44355.142857142855	2020-09-28	3317.0
Unhinged	2020-09-21	96.2	-125.6	294.0	12.857142857142858	2.7142857142857144	2.8571428571428568	1461974.0	96.2	-125.6	2263.142857142857	93.14285714285714	16365460.857142854	2020-09-28	1222582.0
No Escape	2020-09-21	39.1	-188.6	49.0	5.722222222222222	13.571428571428573	12.714285714285715	48024.0	39.1	-188.6	42.42857142857143	165.0	104108.14285714287	2020-09-28	18824.0
The Broken Hearts Gallery	2020-09-21	29.800000000000008	-209.9	98.0	3.855555555555556	4.428571428571429	4.285714285714286	860404.0	29.800000000000008	-209.9	2186.714285714286	56.14285714285714	2836906.8571428573	2020-09-28	465117.0
The Secrets We Keep	2020-09-21	35.50000000000001	-246.1	63.0	1.2999999999999998	11.714285714285715	10.857142857142858	69349.0	35.50000000000001	-246.1	461.57142857142856	21.142857142857142	145780.2857142857	2020-09-28	22837.0
The Way I See It	2020-09-21	-40.300000000000026	-206.5	49.0	1.1904761904761905	16.142857142857142	15.285714285714285	19365.0	-40.300000000000026	-206.5	106.85714285714286	26.142857142857146	36370.71428571428	2020-09-28	4515.0
Draupadi Unleashed	2020-09-21	704.0	0.0	10.0	0.0672672	11.0	8.428571428571429	7343.0	704.0	0.0	8.571428571428571	69.71428571428571	1887.2857142857144	2020-09-28	768.0
Dreaming Grand Avenue	2020-09-21	-16.099999999999998	0.0	6.0	0.009225216	9.857142857142858	6.571428571428571	876.0	-16.099999999999998	0.0	0.8571428571428571	62.42857142857143	2403.285714285714	2020-09-28	829.0
She Dies Tomorrow	2020-09-21	71.7	-160.5	392.0	0.22588800000000006	15.714285714285715	14.857142857142858	26350.0	71.7	-160.5	2.571428571428572	1621.2857142857142	313086.0	2020-09-28	15190.0
Star Wars: Episode V - The Empire Strikes Back2020 Re-release	2020-09-28	17.9	-187.3	258.0	0.0	2.142857142857143	1.4285714285714286	335000.0	17.9	-187.3	717.8571428571429	28.285714285714285	920571.4285714284	2020-10-05	145000.0
The Broken Hearts Gallery	2020-09-28	25.20000000000001	-323.9000000000001	147.0	2.455555555555556	4.857142857142857	4.714285714285714	465117.0	25.20000000000001	-323.9000000000001	2123.428571428572	30.857142857142854	3500262.7142857136	2020-10-05	214015.0
Ava	2020-09-28	107.7	-90.8	49.0	113.76830228082078	10.142857142857142	9.571428571428571	165711.0	107.7	-90.8	234.85714285714286	97.14285714285714	242563.57142857145	2020-10-05	86490.0
Shortcut	2020-09-28	26.200000000000006	-74.19999999999997	49.0	65.9486016628874	6.2857142857142865	6.0	376070.0	26.200000000000006	-74.19999999999997	695.0	78.57142857142857	471743.5714285714	2020-10-05	103773.0
The Call	2020-09-28	32.4	0.0	6.0	45.958026557673854	4.285714285714286	3.0	138237.0	32.4	0.0	83.57142857142857	101.0	39293.42857142857	2020-10-05	139081.0
Tulsa	2020-09-28	82.2	-118.9	294.0	59.52380952380955	16.428571428571427	16.0	37678.0	82.2	-118.9	139.42857142857142	40.285714285714285	361182.7142857143	2020-10-05	19676.0
Hocus Pocus2020 Re-release	2020-09-28	-19.2	0.0	6.0	0.0	0.42857142857142855	0.2857142857142857	1925000.0	-19.2	0.0	1101.4285714285713	106.71428571428572	582142.8571428572	2020-10-05	1161000.0
Unhinged	2020-09-28	114.5	-134.2	343.0	11.746031746031747	2.4285714285714284	2.2857142857142856	1222582.0	114.5	-134.2	2113.8571428571427	83.85714285714286	17697337.285714287	2020-10-05	996172.0
